# seed=42
seed,channel,rv_value,rv_hex,rv_group,base_acc,varA_acc,varB_acc
123,6,3.9311881065368652,0x407b9896,>2,91.55,0.0,16.18
123,7,7.33019808046853e-12,0x2d00f447,~0,91.55,91.55,91.55
123,8,0.25789743661880493,0x3e840b22,"(0,1]",91.55,0.0,91.33
123,9,2.0509265397095078e-09,0x310cf048,~0,91.55,91.55,91.55
123,10,1.1522455215454102,0x3f937cc8,"(1,2]",91.55,0.0,0.0
123,11,0.4460300803184509,0x3ee45e0e,"(0,1]",91.55,0.0,79.86
123,12,3.156547784805298,0x404a04e1,>2,91.55,0.0,7.47
123,13,5.182236861855927e-08,0x335e934c,~0,91.55,91.55,91.55
123,14,4.055453777313232,0x4081c647,>2,91.55,0.0,11.71
123,15,0.14073273539543152,0x3e101c3e,"(0,1]",91.55,0.0,91.28
123,16,2.1619439125061035,0x400a5d4a,>2,91.55,0.0,13.24
123,17,5.260988712310791,0x40a85a05,>2,91.55,0.0,10.85
123,18,2.817131757736206,0x40344be3,>2,91.55,0.0,10.16
123,19,5.430004119873047,0x40adc298,>2,91.55,0.0,8.53
123,20,1.3146555423736572,0x3fa846a2,"(1,2]",91.55,0.0,0.0
123,21,5.752561569213867,0x40b814fc,>2,91.55,0.0,10.04
123,22,3.0153303146362305,0x4040fb2c,>2,91.55,0.0,9.19
123,23,0.13866858184337616,0x3e0dff23,"(0,1]",91.55,0.0,91.23
123,24,0.07143618911504745,0x3d924d23,"(0,1]",91.55,0.0,91.21
123,25,2.5738227367401123,0x4024b983,>2,91.55,0.0,11.88
123,26,5.210793972015381,0x40a6bed3,>2,91.55,0.0,12.49
123,27,4.554391384124756,0x4091bd93,>2,91.55,0.0,17.48
123,28,5.917027473449707,0x40bd584a,>2,91.55,0.0,17.87
123,29,1.4270439147949219,0x3fb6a960,"(1,2]",91.55,0.0,0.0
123,30,0.18981482088565826,0x3e425ed1,"(0,1]",91.55,0.0,89.9
123,31,0.38278108835220337,0x3ec3fbe2,"(0,1]",91.55,0.0,91.05
123,32,4.111423492431641,0x408390c8,>2,91.55,0.0,23.14
123,33,2.7884180545806885,0x40327571,>2,91.55,0.0,14.11
123,34,4.737977504730225,0x40979d83,>2,91.55,0.0,9.49
123,35,5.34270715713501,0x40aaf775,>2,91.55,0.0,13.68
123,36,1.5634785133222806e-12,0x2bdc0a40,~0,91.55,91.55,91.55
123,37,1.679105520248413,0x3fd6ecee,"(1,2]",91.55,0.0,0.0
123,38,1.1479506852474924e-13,0x2a013f6d,~0,91.55,91.55,91.55
123,39,0.15400296449661255,0x3e1db2f4,"(0,1]",91.55,0.0,91.33
123,40,0.08696553856134415,0x3db21afd,"(0,1]",91.55,0.0,91.25
123,41,0.5510796308517456,0x3f0d138e,"(0,1]",91.55,0.0,89.02
123,42,0.4443865716457367,0x3ee386a3,"(0,1]",91.55,0.0,89.17
123,43,0.641513466835022,0x3f243a3a,"(0,1]",91.55,0.0,81.99
123,44,0.8534746170043945,0x3f5a7d50,"(0,1]",91.55,0.0,89.56
123,45,4.10986328125,0x40838400,>2,91.55,0.0,11.55
123,46,1.8023589849472046,0x3fe6b3b3,"(1,2]",91.55,0.0,0.0
123,47,1.3358154296875,0x3faafc00,"(1,2]",91.55,0.0,0.0
123,48,3.3051862570639134e-13,0x2aba10c1,~0,91.55,91.55,91.55
123,49,0.16365602612495422,0x3e279572,"(0,1]",91.55,0.0,86.68
123,50,0.035491056740283966,0x3d115f12,"(0,1]",91.55,0.0,91.03
123,51,1.7855795621871948,0x3fe48ddf,"(1,2]",91.55,0.0,0.0
123,52,4.582576751708984,0x4092a478,>2,91.55,0.0,26.56
123,53,0.5530765056610107,0x3f0d966c,"(0,1]",91.55,0.0,89.3
123,54,3.684324264526367,0x406bcbf8,>2,91.55,0.0,11.41
123,55,0.25092437863349915,0x3e807929,"(0,1]",91.55,0.0,88.98
123,56,0.6307122707366943,0x3f21765c,"(0,1]",91.55,0.0,88.51
123,57,2.4446730613708496,0x401c7586,>2,91.55,0.0,10.43
123,58,4.5341477394104,0x409117bd,>2,91.55,0.0,9.98
123,59,0.3909197449684143,0x3ec826a2,"(0,1]",91.55,0.0,90.67
123,60,1.3078986406326294,0x3fa76939,"(1,2]",91.55,0.0,0.0
123,61,12.435108184814453,0x4146f634,>2,91.55,0.0,11.54
123,62,5.245617389678955,0x40a7dc19,>2,91.55,0.0,10.58
123,63,0.18384292721748352,0x3e3c4152,"(0,1]",91.55,0.0,84.69

# seed=456
seed,channel,rv_value,rv_hex,rv_group,base_acc,varA_acc,varB_acc
456,0,0.257377028465271,0x3e83c6ec,"(0,1]",91.56,0.0,91.41
456,1,1.588849663734436,0x3fcb5f6d,"(1,2]",91.56,0.0,0.0
456,2,6.437230609668276e-11,0x2e8d8e63,~0,91.56,91.56,91.56
456,3,3.430215835571289,0x405b88a8,>2,91.56,0.0,13.23
456,4,1.7887179638940293e-13,0x2a496449,~0,91.56,91.56,91.56
456,5,0.17038969695568085,0x3e2e7aa3,"(0,1]",91.56,0.0,91.37
456,6,4.325345039367676,0x408a693a,>2,91.56,0.0,16.33
456,7,7.356494753640863e-12,0x2d016ab5,~0,91.56,91.56,91.56
456,8,0.31234440207481384,0x3e9feb9b,"(0,1]",91.56,0.0,90.91
456,9,2.052030101395985e-09,0x310d03b2,~0,91.56,91.56,91.56
456,10,1.1479774713516235,0x3f92f0ed,"(1,2]",91.56,0.0,0.0
456,11,0.46873003244400024,0x3eeffd62,"(0,1]",91.56,0.0,78.49
456,12,2.883726119995117,0x40388ef8,>2,91.56,0.0,8.39
456,13,5.204678288350806e-08,0x335f8a0b,~0,91.56,91.56,91.56
456,14,4.024961471557617,0x4080cc7c,>2,91.56,0.0,12.31
456,15,0.12361733615398407,0x3dfd2b16,"(0,1]",91.56,0.0,91.29
456,16,2.3582067489624023,0x4016ecdc,>2,91.56,0.0,13.19
456,17,5.4403157234191895,0x40ae1711,>2,91.56,0.0,9.83
456,18,2.8578808307647705,0x4036e785,>2,91.56,0.0,9.23
456,19,5.370142459869385,0x40abd835,>2,91.56,0.0,8.43
456,20,1.7358124256134033,0x3fde2f1a,"(1,2]",91.56,0.0,0.0
456,21,5.8931660652160645,0x40bc94d1,>2,91.56,0.0,10.89
456,22,3.224069118499756,0x404e5726,>2,91.56,0.0,10.67
456,23,0.11581302434206009,0x3ded2f61,"(0,1]",91.56,0.0,91.1
456,24,0.06624126434326172,0x3d87a980,"(0,1]",91.56,0.0,91.6
456,25,2.5432167053222656,0x4022c410,>2,91.56,0.0,11.56
456,26,5.137091636657715,0x40a4630e,>2,91.56,0.0,12.09
456,27,4.663811683654785,0x40953df2,>2,91.56,0.0,17.12
456,28,6.134094715118408,0x40c44a81,>2,91.56,0.0,20.99
456,29,1.351410984992981,0x3facfb09,"(1,2]",91.56,0.0,0.0
456,30,0.17738796770572662,0x3e35a531,"(0,1]",91.56,0.0,90.09
456,31,0.48025912046432495,0x3ef5e486,"(0,1]",91.56,0.0,90.9
456,32,4.265902042388916,0x40888245,>2,91.56,0.0,17.35
456,33,3.022063970565796,0x4041697f,>2,91.56,0.0,13.41
456,34,4.615917205810547,0x4093b598,>2,91.56,0.0,9.63
456,35,5.295010566711426,0x40a970ba,>2,91.56,0.0,11.45
456,36,1.5770403646170328e-12,0x2bddf2de,~0,91.56,91.56,91.56
456,37,1.6895734071731567,0x3fd843f1,"(1,2]",91.56,0.0,0.0
456,38,1.1394026997943452e-13,0x2a00490c,~0,91.56,91.56,91.56
456,39,0.23634010553359985,0x3e720324,"(0,1]",91.56,0.0,90.97
456,40,0.17141848802566528,0x3e2f8854,"(0,1]",91.56,0.0,91.08
456,41,0.49110525846481323,0x3efb7226,"(0,1]",91.56,0.0,89.16
456,42,0.6048488616943359,0x3f1ad760,"(0,1]",91.56,0.0,89.07
456,43,0.9376800060272217,0x3f700bcc,"(0,1]",91.56,0.0,82.6
456,44,0.6566334366798401,0x3f281921,"(0,1]",91.56,0.0,89.39
456,45,4.419820785522461,0x408d6f2c,>2,91.56,0.0,11.39
456,46,1.8244739770889282,0x3fe9885d,"(1,2]",91.56,0.0,0.0
456,47,1.121435523033142,0x3f8f8b33,"(1,2]",91.56,0.0,0.0
456,48,3.3147215441203803e-13,0x2aba9a2c,~0,91.56,91.56,91.56
456,49,0.27093762159347534,0x3e8ab856,"(0,1]",91.56,0.0,81.97
456,50,0.0469079315662384,0x3d402288,"(0,1]",91.56,0.0,90.65
456,51,1.6104623079299927,0x3fce23a1,"(1,2]",91.56,0.0,0.0
456,52,4.978001117706299,0x409f4bc9,>2,91.56,0.0,28.36
456,53,0.49042123556137085,0x3efb187e,"(0,1]",91.56,0.0,89.23
456,54,3.716986894607544,0x406de31d,>2,91.56,0.0,13.97
456,55,0.26950666308403015,0x3e89fcc7,"(0,1]",91.56,0.0,88.97
456,56,0.6280507445335388,0x3f20c7ef,"(0,1]",91.56,0.0,86.96
456,57,2.4562861919403076,0x401d33cb,>2,91.56,0.0,10.77
456,58,4.240571975708008,0x4087b2c4,>2,91.56,0.0,11.88
456,59,0.25357672572135925,0x3e81d4cf,"(0,1]",91.56,0.0,90.55
456,60,1.602797508239746,0x3fcd2878,"(1,2]",91.56,0.0,0.0
456,61,12.401869773864746,0x41466e0f,>2,91.56,0.0,9.58
456,62,5.283792018890381,0x40a914d3,>2,91.56,0.0,10.39
456,63,0.16738088428974152,0x3e2b65e5,"(0,1]",91.56,0.0,84.47

# seed=789
seed,channel,rv_value,rv_hex,rv_group,base_acc,varA_acc,varB_acc
789,0,0.26068079471588135,0x3e8577f4,"(0,1]",91.46,0.0,90.93
789,1,1.3314160108566284,0x3faa6bd7,"(1,2]",91.46,0.0,0.0
789,2,6.448261369307318e-11,0x2e8dcc7c,~0,91.46,91.46,91.46
789,3,3.4174139499664307,0x405ab6e9,>2,91.46,0.0,13.36
789,4,1.7633919498216688e-13,0x2a468a50,~0,91.46,91.46,91.46
789,5,0.17153380811214447,0x3e2fa68f,"(0,1]",91.46,0.0,91.24
789,6,4.342759132385254,0x408af7e2,>2,91.46,0.0,17.09
789,7,7.312418899563244e-12,0x2d00a435,~0,91.46,91.46,91.46
789,8,0.2441806197166443,0x3e7a0a7c,"(0,1]",91.46,0.0,90.96
789,9,2.0674044698409944e-09,0x310e122a,~0,91.46,91.46,91.46
789,10,1.0799243450164795,0x3f8a3af6,"(1,2]",91.46,0.0,0.0
789,11,0.8414254188537598,0x3f5767a8,"(0,1]",91.46,0.0,78.68
789,12,2.9047491550445557,0x4039e769,>2,91.46,0.0,8.13
789,13,5.242376488467926e-08,0x3361288a,~0,91.46,91.46,91.46
789,14,4.067944049835205,0x40822c99,>2,91.46,0.0,10.43
789,15,0.1404675394296646,0x3e0fd6b9,"(0,1]",91.46,0.0,90.88
789,16,2.3891773223876953,0x4018e848,>2,91.46,0.0,11.3
789,17,5.218883514404297,0x40a70118,>2,91.46,0.0,10.63
789,18,2.7749075889587402,0x40319816,>2,91.46,0.0,9.89
789,19,5.314925193786621,0x40aa13de,>2,91.46,0.0,8.35
789,20,1.299698829650879,0x3fa65c88,"(1,2]",91.46,0.0,0.0
789,21,5.7564849853515625,0x40b83520,>2,91.46,0.0,10.22
789,22,3.1212658882141113,0x4047c2d2,>2,91.46,0.0,9.76
789,23,0.08547236025333405,0x3daf0c22,"(0,1]",91.46,0.0,91.04
789,24,0.156921848654747,0x3e20b01f,"(0,1]",91.46,0.0,90.72
789,25,2.7066380977630615,0x402d398f,>2,91.46,0.0,12.55
789,26,5.193606853485107,0x40a63207,>2,91.46,0.0,12.18
789,27,4.737527847290039,0x409799d4,>2,91.46,0.0,19.02
789,28,6.122519016265869,0x40c3ebad,>2,91.46,0.0,20.45
789,29,1.6228069067001343,0x3fcfb823,"(1,2]",91.46,0.0,0.0
789,30,0.18425895273685455,0x3e3cae61,"(0,1]",91.46,0.0,89.5
789,31,0.3448652923107147,0x3eb0922f,"(0,1]",91.46,0.0,91.04
789,32,4.288644790649414,0x40893c94,>2,91.46,0.0,21.85
789,33,3.102295160293579,0x40468c01,>2,91.46,0.0,14.3
789,34,4.675283432006836,0x40959bec,>2,91.46,0.0,9.52
789,35,5.273558139801025,0x40a8c0fd,>2,91.46,0.0,11.79
789,36,1.5616040361862704e-12,0x2bdbc6b7,~0,91.46,91.46,91.46
789,37,1.7052057981491089,0x3fda442f,"(1,2]",91.46,0.0,0.0
789,38,1.1438602615012478e-13,0x2a00c987,~0,91.46,91.46,91.46
789,39,0.14562225341796875,0x3e151e00,"(0,1]",91.46,0.0,90.66
789,40,0.2312989979982376,0x3e6cd9a5,"(0,1]",91.46,0.0,91.04
789,41,0.5026299357414246,0x3f00ac5b,"(0,1]",91.46,0.0,88.54
789,42,0.4657353460788727,0x3eee74dd,"(0,1]",91.46,0.0,88.87
789,43,0.6789820790290833,0x3f2dd1c5,"(0,1]",91.46,0.0,82.52
789,44,0.6877972483634949,0x3f30137b,"(0,1]",91.46,0.0,89.18
789,45,4.395961761474609,0x408cabb8,>2,91.46,0.0,13.48
789,46,1.8134273290634155,0x3fe81e63,"(1,2]",91.46,0.0,0.0
